3,5073E+13;ACS ENGENHARIA AMBIENTAL LTDA;ACS ENGENHARIA AMBIENTAL;Av. Radialista Joao Ramos, 2624;;Planalto Cidade Nova;61930360;MARACANAU;85 34631899;85 30148750;"acs@acs.eng.br;";;Carlos Gustavo M. da Silveira;0 à 150000;Nao;Sim;30;CAPTAÇÃO, TRATAMENTO E DISTRIBUIÇÃO DE ÁGUA;- lajes - estação de tratamento de água e esgoto
7,40759E+13;CIA DE GESTÃO DOS RECURSOS HIDRICOS ESTADO DO CEARA COGERH;COGERH;R. Adualdo Batiasta 1550;;Parque Iracema;60824140;FORTALEZA;85 32187020;85 32187032;;cogerh.com.br;Francisco Rennys Aguiar Frota;0 à 150000;Nao;Nao;1;CAPTAÇÃO, TRATAMENTO E DISTRIBUIÇÃO DE ÁGUA;- Gerencia de recursos hidricos do estado
7,04011E+12;COMPANHIA DE ÁGUA E ESGOTO DO CEARÁ;CAGECE;Av. Dr. Lauro Vieira Chaves, 1030;;Vila União;60420280;FORTALEZA;85 31011719;;;www.cagece.com.br;André Macêdo Facó;0 à 150000;Nao;Nao;1200;CAPTAÇÃO, TRATAMENTO E DISTRIBUIÇÃO DE ÁGUA;- água - esgoto
7,04011E+12;COMPANHIA DE ÁGUA E ESGOTO DO CEARÁ;CAGECE;R. 13 de maio, 102;;Centro;60422901;MARANGUAPE;85 31011730;85 (Vazio);;;André Macêdo Facó;0 à 150000;Nao;Nao;50;CAPTAÇÃO, TRATAMENTO E DISTRIBUIÇÃO DE ÁGUA;- captação, tratamento e distribuição de água
07040108012597;COMPANHIA DE ÁGUA E ESGOTO DO CEARÁ - CAGECE;CAGECE;R. João Cordeiro, 2245;;Aldeota;60110301;FORTALEZA;85 31011939;;;www.cagece.com.br;André Macêdo Facó;100000000 à 250000000;Nao;Nao;1200;CAPTAÇÃO, TRATAMENTO E DISTRIBUIÇÃO DE ÁGUA;- água encanada - serviços de esgoto
7,04011E+12;COMPANHIA DE ÁGUA E ESGOTO DO CEARÁ - CAGECE;CAGECE;Av. D, 530;;José Walter;60422901;FORTALEZA;85 31011765;;;;André Macêdo Facó;0 à 150000;Nao;Nao;4000;CAPTAÇÃO, TRATAMENTO E DISTRIBUIÇÃO DE ÁGUA;- captação - distribuição de água - tratamento de água
7,04011E+12;COMPANHIA DE ÁGUA E ESGOTO DO CEARÁ CAGECE;CAGECE;R. Delmiro Gouveia, S/N;;Romeirão;63050220;JUAZEIRO DO NORTE;88 35112970;;"carla.figueiredo@cagece.com.br;";;Expedito Galba Batista;0 à 150000;Nao;Nao;30;CAPTAÇÃO, TRATAMENTO E DISTRIBUIÇÃO DE ÁGUA;- serviço de tratamento de água e esgoto
3,38236E+12;EDMIL CONSTRUÇÕES S/A;EDMIL;R. Edmilson Correia, 11;;Centro;63800000;QUIXERAMOBIM;88 34411297;88 34411337;"edmil_ce@hotmail.com;";;Edmilson Correia de Vasconcelos Junior;0 à 150000;Nao;Nao;91;CAPTAÇÃO, TRATAMENTO E DISTRIBUIÇÃO DE ÁGUA;- abastecimento de água - Cimento
1,6167E+13;HYDROSISTEM ENGENHARIA;HYDROSISTEM ENGENHARIA;Pe. Leopoldo Fernandes, S/N;;São Gerardo;60320020;FORTALEZA;85 34645100;34645105;;;Silvio Regis;0 à 150000;Sim;Nao;500;CAPTAÇÃO, TRATAMENTO E DISTRIBUIÇÃO DE ÁGUA;- abastecimento de água
3,61615E+12;JOSÉ IRAPUAN FREITAS MACIEL FILHO - EPP;ÁGUA SÃO FRANCISCO;R. Mestil Meyer, 156;;Mondubim;60762080;FORTALEZA;85 32982340;;"aguasaofranscico@hotmail.com;";;José Irapuam Freitas Maciel Filho;0 à 150000;Nao;Nao;10;CAPTAÇÃO, TRATAMENTO E DISTRIBUIÇÃO DE ÁGUA;- água
1,10714E+13;MOREIRA CARVALHO LABORATORIOS E ENGENHARIA AMBIENTAL LTDA;H2O ANALYSIS;R. Conego Braveza, 894;;Cidade dos Funcionários;60822820;FORTALEZA;85 30212094;;"alancarvalho@h2oanalysis.com.br;";;Alan Pereira de Carvalho;0 à 150000;Nao;Nao;11;CAPTAÇÃO, TRATAMENTO E DISTRIBUIÇÃO DE ÁGUA;- análise de água e alimentos
3,00355E+12;SANEARTEC SERVIÇOS LTDA;SANEARTEC;R. Monsenhor Bruno, 1860;;Aldeota;60115191;FORTALEZA;85 32834998;;"atendimento@saneartec.com.br;";;Rafael Arcanjo Soares Araújo Neto;0 à 150000;Nao;Nao;24;CAPTAÇÃO, TRATAMENTO E DISTRIBUIÇÃO DE ÁGUA;- produtos para tratamento de água
5,5372E+12;SERVIÇO AUTONOMO DE ÁGUA E ESGOTO;SAAE;R. José Ribeiro Monte, 231, Sede;;Centro;63430000;ICO;88 35611597;;"saae@ico.ce.gov.br;";;Alberto Cleiton Guedes Viraloca;0 à 150000;Nao;Nao;59;CAPTAÇÃO, TRATAMENTO E DISTRIBUIÇÃO DE ÁGUA;- captação, tratamento e distribuição de água - tratamento de água e esgoto
07817778000137;SERVIÇO AUTONOMO DE ÁGUA E ESGOTO DE SOBRAL;SAAE;R. Dr. Monte , 563;;Centro;62011200;SOBRAL;88 88277244;;"saaesobral@saaesobral.com.br;";;Luis Fernando Viana Coelho;0 à 150000;Nao;Nao;200;CAPTAÇÃO, TRATAMENTO E DISTRIBUIÇÃO DE ÁGUA;- serviço de tratamento de água e esgoto
